Date,"23.5,92.5","23.5,93.5","24.5,91.5","24.5,92.5","24.5,93.5","24.5,94.5","25.5,90.5","25.5,91.5","25.5,92.5","25.5,93.5","25.5,94.5","26.5,90.5","26.5,91.5","26.5,92.5","26.5,93.5","26.5,94.5","26.5,95.5","27.5,90.5","27.5,91.5","27.5,92.5","27.5,93.5","27.5,94.5","27.5,95.5","27.5,96.5","28.5,91.5","28.5,92.5","28.5,93.5","28.5,94.5","28.5,95.5"
1973-08-31,6.636163485146338,11.690690676050801,6.612627444007704,8.596028438018214,13.914002169524469,14.535177215453118,16.72071914903579,9.464691259687946,10.487511353627328,13.186212393545336,13.10060586467866,19.312438085675243,7.714566657620091,5.176427647471429,10.100075879404622,11.062530208018519,16.47134926722896,18.571199271227083,5.796190921818057,5.752669696846316,6.8496863361327875,16.10402035424786,16.506389337201274,16.506451529841268,5.038715800931377,4.378992794982849,13.584352428393979,16.493062934567853,16.506451406786518
1973-09-30,5.95120471517245,5.663967591524124,5.956438801189264,5.971976379553477,5.826123643418153,5.511910027762254,13.867254444460075,7.179794650028149,7.994533687829972,6.355283215641975,6.41326988240083,16.682637419303255,10.774821403622626,11.358192147811254,8.295212702949842,9.303188164532184,19.13334317058325,16.246070094406605,11.871780556688707,10.998746807376543,10.922285978247723,18.940532946586607,19.31658942103386,19.31666682412227,11.866668218374253,11.86205896238486,17.47777258654435,19.305701927344003,19.31666682412227
1973-10-31,2.2649482863564647,3.4053188024028653,2.2680745624726817,2.6734040571797277,3.9144559394448035,4.043753631653325,7.413911468559696,2.9299741089344025,3.225067098294535,3.773041041628007,3.7559666960470137,9.640111454071537,2.763480352297906,2.1638485597025965,3.150309049314068,3.3917937480634257,4.993454029723521,10.860366503798193,1.838969062412939,2.279679793984659,2.3905913541393895,4.867445111755402,5.0128843918923405,5.0129033096375,0.9935483773869853,1.948602627361974,4.0310917035225895,5.008800487364492,5.0129033096375
1973-11-30,5.222391327222188,4.005364839235941,5.22045361995697,4.634639489650726,3.186721738179524,3.3011650880177816,2.165514865517616,3.4385827203591663,2.1770638726651668,2.9134926199913025,2.8875337203343707,0.9310499663154285,1.0676033357779184,0.6140053480863571,2.025480242570241,1.973236417770386,0.8293250461419422,0.7690451269348462,0.5057359288136164,0.7794262369473774,0.9649235596259437,0.8063244625926017,0.7999989926815034,0.8000000029802322,0.380000376701355,0.38086928526560465,0.6975150629878046,0.7995852599541345,0.8000000029802322
1973-12-31,1.802223882367534,1.916942334944202,1.8007034793976815,1.8233872613599222,1.9095999646571375,1.976676756335843,0.638663399604059,1.6096353530883791,1.462974785316375,1.8025049394176853,1.7911149301836569,0.21053014743712642,0.921797844671434,0.7696287978080012,1.4040142797654676,1.4195265318116834,1.2286238977985997,0.1714513869054856,0.6863946722399804,0.8439350281992266,0.9385904573625132,1.2089131186085365,1.2193532297688146,1.2193548294805712,0.6645159452192244,0.6655511279259957,1.083743083861566,1.21880692051303,1.2193548294805712
1974-01-31,0.3223171541767736,0.3051307239840107,0.322619576607981,0.3292179665257854,0.3325514437690858,0.2951532794583228,0.8200428985780285,0.48226569064201846,0.6130674399675862,0.39962831139564514,0.4065849930047989,0.9774615082048601,0.9254747088397706,1.0444971255717739,0.6514306842319427,0.7692694630353683,1.958537570891842,0.9606131743038853,1.076244750330525,0.9984203702019107,0.9824846199443262,1.9331316832573184,1.9806399653034827,1.980645150907578,1.1096773041832833,1.1090572639819114,1.7656092557214924,1.9796959757804873,1.9806452085894923
1974-02-28,0.04593133074896675,0.01667028771979468,0.04597054209027972,0.03334790255342211,0.0,0.0,0.011634612722056252,0.018372678330966404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12854756255234992,1.2226651055472237,0.007425343351704736,0.0,0.0,0.04232751790966306,1.1871902580772127,1.2392797512667517,1.2500000093132255,0.0,0.0,0.9341837667993137,1.238061897456646,1.2499999752534288
1974-03-31,5.275673997017645,3.1327721159304343,5.274200516362344,4.336667312729743,1.9147563153697598,1.9059132068387925,3.900885570433832,3.1179861868581464,1.610232248421638,1.7961948042915714,1.789292767163246,3.0265010184338017,1.4236444100256889,1.143888108672634,1.5428190096732108,1.7580352769263332,3.309378483122395,2.9537778136230286,1.217796460274727,1.190875944110655,1.3230682371124145,3.2414876160121735,3.3290209794236767,3.332258074273986,1.0774192382251064,1.0777630474298234,2.775065888320246,3.3267131990963414,3.332258020437533
1974-04-30,6.4552470942338305,5.577203544974328,6.440951496114334,6.051088340083758,4.218883444865544,3.887678249677022,11.293513556818167,5.45113816956679,4.314693269630273,4.0235085417826975,4.025633732229471,11.96550270418326,5.143610634406408,4.745511041084925,4.300795396169026,4.871993943055471,9.642032794902722,11.327049457530181,5.119253992537657,4.696099744240443,4.833329027891159,9.506707340975602,9.723302836716176,9.723333357274532,4.823334038257599,4.8215453426043196,8.516558309396109,9.717197513083617,9.72333342085282
1974-05-31,14.35743445927097,14.384053909009502,14.54095810651779,14.568044383198984,15.579614350872655,15.344438356737937,14.077968259972911,14.90826155966328,15.475053880483873,15.800272039828762,14.623874533560969,13.396797507039961,15.061836727924886,14.913006772918084,14.30283223621307,12.981724523728895,7.324648068797204,12.753251759755996,14.885710493691507,13.828543522665576,13.679263700400629,7.507397392584433,7.290331841476502,7.290322674858954,14.829030546449847,13.674811455511279,8.826651072309863,7.292517545723146,7.2903226902407985
